learning_rate,beta_1,beta_2,epsilon,accuracy
0.0004,0.82,0.74,5e-07,0.9337607026100159
0.0003,0.52,0.66,4e-07,0.9209401607513428
0.0005,0.69,0.58,1e-07,0.9059829115867615
0.0005,0.87,0.78,1e-07,0.8739316463470459
0.0004,0.53,0.89,5e-07,0.9081196784973145
0.0008,0.78,0.75,6e-07,0.8995726704597473
0.0002,0.95,0.53,8e-07,0.4594016969203949
0.0007,0.68,0.88,5e-07,0.9166666865348816
0.0005,0.8,0.63,8e-07,0.9102563858032227
0.0002,0.75,0.6,6e-07,0.9465811848640442
0.0008,0.81,0.93,3e-07,0.9188033938407898
0.0008,0.94,0.7,9e-07,0.4764957129955292
0.0007,0.68,0.81,5e-07,0.9123931527137756
0.0004,0.63,0.71,3e-07,0.9188033938407898
0.0001,0.89,0.67,2e-07,0.94017094373703
0.0004,0.95,0.72,5e-07,0.4615384638309479
0.0005,0.87,0.52,9e-07,0.4594016969203949
0.0002,0.96,0.97,7e-07,0.94017094373703
0.0007,0.93,0.54,1e-07,0.4594016969203949
0.0008,0.83,0.78,7e-07,0.8739316463470459
0.0002,0.56,0.71,7e-07,0.9294871687889099
0.0007,0.89,0.85,7e-07,0.9337607026100159
0.0008,0.83,0.58,7e-07,0.49358972907066345
0.0004,0.76,0.55,2e-07,0.938034176826477
0.0006,0.76,0.54,3e-07,0.4594016969203949
0.0006,0.72,0.86,9e-07,0.9123931527137756
0.0005,0.87,0.62,3e-07,0.8333333134651184
0.0005,0.83,0.73,5e-07,0.9209401607513428
0.0007,0.9,0.65,4e-07,0.4829059839248657
0.0006,0.91,0.91,7e-07,0.9273504018783569
0.0006,0.63,0.93,6e-07,0.8952991366386414
0.0007,0.66,0.79,2e-07,0.8910256624221802
0.0007,0.79,0.91,7e-07,0.9230769276618958
0.0001,0.94,0.66,7e-07,0.9316239356994629
0.0008,0.53,0.86,1e-07,0.75
0.0007,0.6,0.91,6e-07,0.4594016969203949
0.0004,0.99,0.85,2e-07,0.4893162250518799
0.0003,0.85,0.61,3e-07,0.9273504018783569
0.0002,0.98,0.81,5e-07,0.6495726704597473
0.0008,0.81,0.74,2e-07,0.4594016969203949
0.0007,0.68,0.66,8e-07,0.9487179517745972
0.0006,0.84,0.54,4e-07,0.46581196784973145
0.0005,0.57,0.86,4e-07,0.8760683536529541
0.0002,0.88,0.85,8e-07,0.9273504018783569
0.0007,0.93,0.67,5e-07,0.4594016969203949
0.0005,0.83,0.85,3e-07,0.9252136945724487
0.0009,0.59,0.92,3e-07,0.8696581125259399
0.0005,0.59,0.58,8e-07,0.9273504018783569
0.0008,0.57,0.59,1e-07,0.8589743375778198
0.0009,0.62,0.69,8e-07,0.8846153616905212
0.0005,0.71,0.56,5e-07,0.9252136945724487
0.0002,0.54,0.79,8e-07,0.9337607026100159
0.0004,0.71,0.64,6e-07,0.9188033938407898
0.0004,0.62,0.52,3e-07,0.9316239356994629
0.0004,0.8,0.59,8e-07,0.9166666865348816
0.0009,0.96,0.56,4e-07,0.4594016969203949
0.0003,0.53,0.6,4e-07,0.9252136945724487
0.0006,0.7,0.9,3e-07,0.9017093777656555
0.0006,0.98,0.61,1e-07,0.4594016969203949
0.0005,0.92,0.6,9e-07,0.46367520093917847
0.0008,0.59,0.64,9e-07,0.882478654384613
0.0003,0.96,0.61,5e-07,0.5128205418586731
0.0005,0.76,0.75,5e-07,0.9166666865348816
0.0003,0.95,0.82,3e-07,0.9188033938407898
0.0001,0.74,0.77,8e-07,0.9444444179534912
0.0001,0.55,0.7,8e-07,0.942307710647583
0.0004,0.87,0.57,3e-07,0.4764957129955292
0.0005,0.88,0.78,3e-07,0.9188033938407898
0.0003,0.95,0.77,5e-07,0.8760683536529541
0.0002,0.63,0.68,3e-07,0.938034176826477
0.0005,0.71,0.61,3e-07,0.9316239356994629
0.0005,0.6,0.74,6e-07,0.9123931527137756
0.0003,0.68,0.98,5e-07,0.9294871687889099
0.0001,0.65,0.52,5e-07,0.9594017267227173
0.0004,0.96,0.71,6e-07,0.5705128312110901
0.0008,0.7,0.58,6e-07,0.9316239356994629
0.0005,0.89,0.96,6e-07,0.9081196784973145
0.0002,0.85,0.75,6e-07,0.94017094373703
0.0008,0.98,0.83,5e-07,0.4594016969203949
0.0007,0.72,0.94,3e-07,0.8910256624221802
0.0006,0.82,0.94,8e-07,0.9358974099159241
0.0009,0.95,0.87,8e-07,0.8354700803756714
0.0008,0.71,0.83,6e-07,0.9123931527137756
0.0009,0.83,0.59,1e-07,0.46794870495796204
0.0009,0.6,0.82,3e-07,0.4594016969203949
0.0005,0.5,0.5,5e-07,0.9081196784973145
0.0006,0.62,0.65,2e-07,0.9230769276618958
0.0003,0.58,0.55,2e-07,0.9358974099159241
0.0002,0.56,0.72,8e-07,0.9230769276618958
0.0003,0.5,0.57,8e-07,0.942307710647583
0.0008,0.63,0.51,3e-07,0.9102563858032227
0.0003,0.85,0.85,5e-07,0.9252136945724487
0.0003,0.73,0.82,8e-07,0.9358974099159241
0.0007,0.61,0.75,6e-07,0.9166666865348816
0.0007,0.89,0.58,3e-07,0.4871794879436493
0.0002,0.8,0.91,6e-07,0.9166666865348816
0.0005,0.69,0.64,2e-07,0.9230769276618958
0.0002,0.71,0.65,7e-07,0.9529914259910583
0.0007,0.66,0.61,7e-07,0.4594016969203949
0.0002,0.85,0.52,6e-07,0.9230769276618958
0.0005,0.75,0.69,8e-07,0.9166666865348816
0.0005,0.6,0.74,6e-07,0.9017093777656555
0.0009,0.7,0.85,3e-07,0.8653846383094788
0.0005,0.86,0.54,4e-07,0.4893162250518799
0.0008,0.61,0.63,7e-07,0.938034176826477
0.0006,0.78,0.89,7e-07,0.9102563858032227
0.0009,0.8,0.79,1e-07,0.9123931527137756
0.0008,0.66,0.71,6e-07,0.8974359035491943
0.0005,0.97,0.72,2e-07,0.5705128312110901
0.0002,0.85,0.82,2e-07,0.9358974099159241
0.0002,0.83,0.85,7e-07,0.9273504018783569
0.0004,0.87,0.65,9e-07,0.9209401607513428
0.0002,0.82,0.82,9e-07,0.94017094373703
0.0005,0.58,0.74,6e-07,0.8888888955116272
0.0003,0.73,0.82,7e-07,0.9209401607513428
0.0002,0.51,0.51,3e-07,0.9059829115867615
0.0002,0.84,0.95,5e-07,0.9209401607513428
0.0008,0.66,0.76,3e-07,0.9230769276618958
0.0003,0.79,0.61,2e-07,0.9358974099159241
0.0001,0.7,0.64,8e-07,0.9358974099159241
0.0006,0.84,0.79,3e-07,0.9081196784973145
0.0005,0.89,0.8,8e-07,0.8995726704597473
0.0007,0.83,0.88,1e-07,0.9294871687889099
0.0007,0.84,0.73,5e-07,0.9273504018783569
0.0005,0.71,0.91,7e-07,0.9209401607513428
0.0007,0.9,0.87,1e-07,0.9230769276618958
0.0004,0.53,0.94,3e-07,0.9081196784973145
0.0002,0.62,0.83,2e-07,0.9316239356994629
0.0006,0.75,0.52,6e-07,0.9252136945724487
0.0005,0.66,0.72,5e-07,0.9145299196243286
0.0005,0.59,0.74,5e-07,0.938034176826477
0.0008,0.66,0.95,4e-07,0.4615384638309479
0.0003,0.62,0.71,8e-07,0.9358974099159241
0.0001,0.98,0.84,6e-07,0.9081196784973145
0.0002,0.74,0.96,3e-07,0.9316239356994629
0.0009,0.56,0.98,7e-07,0.4594016969203949
0.0006,0.61,0.98,6e-07,0.8974359035491943
0.0005,0.53,0.68,7e-07,0.9145299196243286
0.0005,0.86,0.67,4e-07,0.9081196784973145
0.0006,0.69,0.83,7e-07,0.9252136945724487
0.0004,0.81,0.56,3e-07,0.9294871687889099
0.0007,0.94,0.59,3e-07,0.4594016969203949
0.0007,0.6,0.92,4e-07,0.4594016969203949
0.0004,0.54,0.57,9e-07,0.8995726704597473
0.0006,0.78,0.88,5e-07,0.8867521286010742
