learning_rate,warmup_epochs,mask_period,mem,lr_reg,lambda_reg,precision,layer,interpretability
0.0001,1,2,1,0.001,0.001,0.9755600814663951,4,0.8998215436098113
0.0001,1,2,2,0.001,0.001,0.9837067209775967,4,0.5718081857310598
0.0001,1,2,1,0.001,0.004,0.9755600814663951,4,0.8618605309241493
0.0001,1,2,2,0.001,0.004,0.9837067209775967,4,0.42527668945784425
0.0001,1,2,1,0.001,0.009,0.9653767820773931,3,0.8144006631627415
0.0001,1,2,2,0.001,0.009,0.9837067209775967,4,0.45693636363683326
0.0001,1,2,1,0.004,0.001,0.9633401221995926,0,0.09037311227571349
0.0001,1,2,2,0.004,0.001,0.9837067209775967,4,0.5661900411936729
0.0001,1,2,1,0.004,0.004,0.9531568228105907,3,0.24637218227884075
0.0001,1,2,2,0.004,0.004,0.9837067209775967,4,0.5390160731034684
0.0001,1,2,1,0.004,0.009,0.955193482688391,2,0.2329687782937763
0.0001,1,2,2,0.004,0.009,0.9837067209775967,4,0.5312818843642242
0.0001,1,2,1,0.009,0.001,0.945010183299389,4,0.29240845790517705
0.0001,1,2,2,0.009,0.001,0.9837067209775967,4,0.5087056250702108
0.0001,1,2,1,0.009,0.004,0.9613034623217923,3,0.3161825469880014
0.0001,1,2,2,0.009,0.004,0.9857433808553971,4,0.5361923169100495
0.0001,1,2,1,0.009,0.009,0.9327902240325866,4,0.30687264693840904
0.0001,1,2,2,0.009,0.009,0.9837067209775967,4,0.46785227480890895
0.0001,1,4,1,0.001,0.001,0.9816700610997964,5,0.5853611466943154
0.0001,1,4,4,0.001,0.001,0.9857433808553971,4,0.4101502659291297
0.0001,1,4,1,0.001,0.004,0.9735234215885947,1,0.13551893827883296
0.0001,1,4,4,0.001,0.004,0.9837067209775967,4,0.5153633177289224
0.0001,1,4,1,0.001,0.009,0.9775967413441955,4,0.7798176072102571
0.0001,1,4,4,0.001,0.009,0.9857433808553971,4,0.4629778334744106
0.0001,1,4,1,0.004,0.001,0.9735234215885947,3,0.8656400843231293
0.0001,1,4,4,0.004,0.001,0.9816700610997964,4,0.5686989653876704
0.0001,1,4,1,0.004,0.004,0.9796334012219959,2,0.2764832559880064
0.0001,1,4,4,0.004,0.004,0.9837067209775967,4,0.5890267840976502
0.0001,1,4,1,0.004,0.009,0.9653767820773931,4,0.7772261291216506
0.0001,1,4,4,0.004,0.009,0.9837067209775967,4,0.5231022108196692
0.0001,1,4,1,0.009,0.001,0.9348268839103869,4,0.34459185677627935
